rank	username	minecraft:custom/minecraft:play_one_minute
386	H0UNDFRMH3LL	5957059
387	Jordan_R	5910288
388	NoChumpChange	5859433
389	Prodiginus	5834670
390	Moofyman	5827603
391	prizm_	5807728
392	starbits140	5773907
393	Valoth	5699996
394	theonlymagikarp	5694995
395	olliebollie48	5676525
396	Kim_Jong_eel	5648929
397	XxCookiequeenxX	5605369
398	whoaluv	5590656
399	Russiancat1	5585292
400	BreadBacon	5580202
401	impossibleteapot	5535856
402	LeeMcGee30	5457189
403	ZoomieZoomie	5437896
404	CliffEmAll	5431896
405	iSammael	5413735
406	Luigipunch989	5344200
407	epiksk8erduck	5281675
408	paranoid_plant	5245782
409	Stiar	5221462
410	4774	5181446
411	00000000-0000-0000-0009-01f898304150	5167497
412	ITDV	5130616
413	KingFaenor	5086044
414	UncreativeArtist	5084186
415	Hpdinosaur	5046340
416	Cryptacity	5026538
417	Z3braYTIL	5010172
418	Kkanot	5007811
419	cichy096	4975807
420	ProfessorDiaper	4957641
421	corpsecity	4937711
422	Rocco_Lane	4909918
423	GingerNeutron	4879369
424	ElectricDragon81	4874403
425	Steve897	4870828
426	Sleepy_Time_	4859429
427	SvenskaSara	4830593
428	smogfrog	4794192
429	Biites	4772533
430	Wolverine4302	4772370
431	BPTY4618	4755886
432	CharlieButt	4734681
433	bearlystraight	4711765
434	Masssonnn	4699863
435	Tolhart	4693836
436	fr_ser	4685988
437	VentiHilton	4660794
438	Auseawesome	4638885
439	ItsDeltaMC	4629690
440	seramalen	4586332
441	jushykins	4556059
442	Nicky19	4535627
443	BungalowBeet	4521922
444	KeruNatsema	4519903
445	shineh10	4502224
446	SSytex_X	4486660
447	Kijiki	4455971
448	seanitoo	4448825
449	OfficerAnvil	4408406
450	laron58	4385362
451	HyperCave	4341192
452	fanofbands101	4330559
453	mimbo1211	4323571
454	Notta	4320841
455	imcombxt	4317996
456	stellarjay	4306273
457	Teebone15	4299792
458	QuiCreans	4282152
459	Vetral1	4254399
460	ReflexCode	4252306
461	CarltheCuck	4240769
462	gaziter10	4206126
463	QueenShuvi	4203441
464	TheEnderMan548	4194359
465	Prismyst	4187844
466	Jonafrog99	4174760
467	thebaddruid	4154392
468	TheTrueClipse	4133555
469	SvenskaAlvar	4133394
470	Airem_Core	4127351
471	trexgb	4110373
472	Vizzoid	4077509
473	emrekn	4061941
474	BlueZabu	4028172
475	MustaLoordi	4025426
476	Kateesaur	4025343
477	thgrocks	4020434
478	Secret_Canary	4000265
479	aldplaysmc	3977726
480	Rich_Kat	3966398
481	Jackster03	3940991
482	sufjanlover	3927380
483	MrKrabOnCoke	3925191
484	King_Pancake1	3904210
485	Smiguli_	3903248
486	NotMeanttoChange	3900885
487	nattybears	3900701
488	33sudo	3885860
489	SquadMonster	3860921
490	Soul_Atreus	3859884
491	NinjaKnifeKill	3858264
492	gren_ben	3846061
493	ReSynced	3839982
494	G1ldor	3838132
495	RoboTramp7865	3819511
496	WYFYoyo	3804880
497	Kferno	3803034
498	iElijah	3801503
499	ratglock	3798997
500	Reamdin	3797814
501	lotarp	3794660
502	little_dUki	3769308
503	DAD_1996	3761455
504	mawileite	3760487
505	MuffinManzz	3754835
506	ARandomHedge	3751652
507	Nyxiom_	3750707
508	Killercatty78	3738309
509	Donutt	3736299
510	Hyugo	3734739
511	brofrickcheaters	3711590
512	OrewaSora	3710946
513	shrimp_flips	3710058
514	TheBiggestFeller	3700054
515	layabout100	3694396
516	CrateOfBoxes	3680398
517	Luminad3	3651646
518	IdeallyGrey	3645499
519	Drewen24	3640092
520	Truckoss	3639275
521	bloomkieren	3627653
522	domagawha	3614035
523	Whiterooster001	3589936
524	Soap_Bender	3553303
525	OG_Songsee	3553112
526	_3Stump_	3521383
527	Factoroni	3479405
528	Iagoku	3458253
529	tartanboy	3451838
530	Tiberonus	3451329
531	purpolepickle	3433882
532	Vellu21	3427966
533	_8man	3395030
534	Ecplosive	3390896
535	Froste131	3334985
536	TheDiamondCG	3323003
537	Avocadogerms	3320582
538	__Fanda__	3287276
539	DTwenty	3271588
540	dopplexd	3258992
541	Kynigito	3254656
542	Queen_Jalapeno	3227801
543	AssFullaCum	3219805
544	Tommhh	3173019
545	gustarlep	3163014
546	Silvo614	3121662
547	Jakobo1337	3063150
548	MinuteMira	3049904
549	ogoa	3048123
550	ProbsNotNova	3047546
551	LAVA129	3034751
552	Winston_Ingram	3022994
553	Lukeee33	3016488
554	Badenbeele	3002569
555	ZeroAbyssTTV	2997814
556	The_SlideV5	2970177
557	poopybh	2967401
558	Houstonion	2963170
559	301851	2960588
560	Ozixar	2943490
561	PeteO1995	2940069
562	cytotoxaint	2936904
563	Mowelan	2925223
564	Darkgon	2919477
565	_Razaria	2910965
566	AnnieBathory	2887918
567	IgnoredBee	2884870
568	dudcreeper	2882415
569	AngalexikCZ	2877338
570	eclipseboi	2873049
571	SpouHn	2866365
572	NLKBuilder	2862127
573	Ailmast	2855619
574	CaptainDeadBread	2849831
575	1442	2844247
576	hcb238	2822259
577	FreddyFart	2800309
578	UltraZombie	2792645
579	chipklip	2791345
580	NYJ	2791293
581	yatsuta	2778362
582	RyuNeko932000	2765530
583	MunkaKris	2748753
584	kyouma777	2721696
585	_Cloverbelle_	2716431
586	SoftSix	2708012
587	aec9	2680768
588	Cortexia	2674060
589	ZaneABrain	2669847
590	NATE_the_HALO	2652620
591	Karetoko	2646280
592	sammidk	2644199
593	jewbacaman	2631919
594	stuy9	2627706
595	Noah_Bez	2615381
596	Pofen	2615340
597	MelodyGaysharks	2611442
598	SHAOBADMAN	2595574
599	Flores991	2593972
600	PuFY	2593733
601	AJplaysMC_	2576107
602	Cyntrical	2571114
603	boog4loo	2569573
604	tramizu	2548998
605	LetsDoItLive	2530340
606	Malware_Mara	2503358
607	ItsColin11	2500991
608	EfficientC52	2500642
609	SexcMf	2492917
610	TheALV	2490059
611	BRRRN179	2467608
612	JETrotter	2465965
613	Bloo2406	2460931
614	fallingemma	2459862
615	rotten_mango	2459452
616	Frxnkz	2443870
617	CarryLine	2443376
618	drunkeeez	2443140
619	Deguns123	2440252
620	Karbl	2437297
621	Fizznut909	2427653
622	Drawgirl	2424836
623	wobn	2411356
624	The_Quack_Dealer	2388426
625	zorin123	2385802
626	Heisenbberrg	2372744
627	KliBeast21	2355243
628	EtherealEspresso	2350364
629	_Meow_Mix	2346750
630	dimondking777	2330099
631	yaboo88	2315753
632	the_russell1611	2315418
633	TrNrGhost	2312110
634	cog	2300281
635	ImNotYuqii	2294969
636	KomputerDude	2289681
637	Batman922	2272321
638	oreee	2269811
639	SwooshBoi	2266737
640	the__Reaper4999	2258703
641	natajimi	2252458
642	Jahara	2236432
643	parodypatient	2233371
644	mobunni	2230067
645	_Nat666	2224289
646	Katsuragi0243218	2223270
647	FadedSpade82	2211074
648	TableTim	2211070
649	Sabby65	2207156
650	ColeSnyder	2196292
651	ClemenPine	2184277
652	zmpeg	2180699
653	Cambo5000	2171052
654	bruh072	2164645
655	ADEXTV	2164488
656	THEKINGLyric10	2164399
657	KartivGal	2152761
658	Motsaro	2150887
659	Dali1465	2139680
660	cheerytomato	2132402
661	stevewithclout	2131915
662	BodaciousCake	2129221
663	Burge_r	2128093
664	Nekomin0	2127730
665	LordAurum	2125720
666	ivorico	2124630
667	shdesolt	2110252
668	GoofyBread	2108186
669	CheifJumbo	2094276
670	DermeinUser	2091459
671	LeEricc	2088716
672	ese_wn_po	2081139
673	InfernalMound	2067857
674	redikul	2067400
675	AvaRosey	2066987
676	fr0stss	2057459
677	MindyDooWho	2054905
678	Tobinator_007	2053725
679	TheOuterCore	2053505
680	Lord_Doob	2045766
681	longappendage	2045655
682	DC_XII	2039481
683	JitteryJared2	2038661
684	Solar_Power	2037189
685	CACTUSLAD	2032336
686	Ravenbie	2030520
687	peach0s	2019501
688	Shin69	2018688
689	xPixelRainx	2017928
690	Jij0	2016375
691	ProbablyNick	2014368
692	LazySupport00	2010427
693	DASH_X7	2004976
694	Shiirazu	1998813
695	surfinggiraffejp	1997517
696	PabloGonza02	1990386
697	geekbird	1984969
698	Joestra	1984881
699	Mr_Sun15	1982950
700	RefluxRatio	1976514
701	TheOnlyRake	1971832
702	MOSS000	1971810
703	ewpunk	1971593
704	Bobby808	1971097
705	Jiminbub	1961679
706	nocturne78	1947486
707	ThePoliteG	1935766
708	firesgal3116	1935559
709	underscore_2	1931714
710	SaltineDream	1930813
711	_AAZAR	1927753
712	tobinwilliams	1925488
713	Crowvens	1924126
714	SUN_DREAM	1909621
715	ccwildfire1	1906452
716	Voxin2K	1904684
717	Base_Tempest	1901841
718	orxngejuice	1893711
719	SirPiccardo	1889387
720	Arteriana	1873258
721	Harotio	1871454
722	Lumien_	1862631
723	_lildarki3	1861721
724	Yatitay	1861422
725	abramgray	1850947
726	MustardDrinker	1843403
727	TheDumbHuman	1830202
728	JohnnyFyes	1829309
729	BronkerBrum	1824835
730	RustyKedel	1823794
731	Foof13	1815097
732	ewsophie	1806486
733	chimpmunker	1803042
734	Paint	1798078
735	dendydoom	1782536
736	dabloons	1763221
737	Tjhodskins19	1762847
738	DSYisDizzy	1758454
739	MixerDixer	1756035
740	Eraza	1748422
741	Bazongoman	1745811
742	SyK7	1745341
743	LeGold	1743224
744	AlazelTheReal	1738192
745	OffWithTheirHead	1737106
746	brycepants	1735576
747	tompup	1730140
748	krutas2000	1729508
749	LilyNova	1727817
750	GLLogan2	1727036
751	Deu_Stew	1720949
752	NormanFetus	1711684
753	fxiryglitch	1702361
754	mountaingirl311	1701210
755	UncleDanDan	1698683
756	pumpfonzo	1695420
757	IvarEXE	1693671
758	andy_rex	1693659
759	SaphLaseer	1691533
760	Doom_melon	1689449
761	ChronoSounds	1684672
762	Avrelion	1684340
763	Alexanderjac	1683220
764	hollowww	1665354
765	HollieDaNugget	1658262
766	gary_	1653478
767	Zetsey	1649196
768	Zedducius	1645668
769	balin55	1627356
770	Paleshield	1625963
771	HeraclesOGU	1625644
772	Yahir091	1623921
773	Toiton	1620207
774	jimintyy	1616479
775	Gryglu583	1615922
776	drumine	1613429
777	BilboBaggins23	1609228
778	Afinnity	1608161
779	Weepingbiel	1603978
780	John6970	1595104
781	sxc_	1588628
782	StanceTB	1587786
783	420BreadLizard	1586375
784	Azmodan_246	1585233
785	Miroryk	1583621
786	ebanana	1582587
787	ItzYaBoiPicard	1577894
788	ReyTheLegend	1577560
789	JoeSaysBingBong	1575972
790	Yahrto	1561552
791	FlashMigma	1560141
792	ItsMrRamen	1557273
793	CornOnTheCobalt	1555371
794	Soffbord	1555210
795	mafiKiwi	1551836
796	Wolf_Mauler_73	1544484
797	TJawesome09	1543725
798	mattybeewrapss	1539648
799	J4k__	1538315
800	Majonezzon	1537677
801	DennyKai	1534558
802	_themselves	1527847
803	Stynxy	1522637
804	avalan64	1520020
805	Jalvajar	1519250
806	okCrypto	1517516
807	CoryJJ	1515945
808	YahooScreen9000	1513814
809	Skomo	1507110
810	__TheNorseMan__	1506561
811	Septemb3r	1506419
812	Lepthymo	1505115
813	DarkLawD	1504913
814	The_Fulgurator	1503600
815	ATrojansLegend	1502516
816	ColdPath	1494973
817	Thaumatarge	1494907
818	BigCronkin	1487778
819	jedi_george	1487099
820	KGTV	1485915
821	SkinnyBois	1478720
822	Guillemet	1476312
823	radioactv_jelly	1475003
824	Parcc	1474957
825	SharpDev	1469950
826	erkada	1468247
827	ILoveCarrot	1461702
828	SDMNAEK	1460929
829	ori0le	1458703
830	Matorz	1456642
831	TAKrules	1453354
832	Giannism	1446870
833	QuacksonThe3rd	1445888
834	_Tilariel_	1444099
835	HAIRYCLOUD626	1437809
836	Decaying_Lotus	1436463
837	killmeiamtraitor	1426233
838	Moetis	1424241
839	CueMix	1422488
840	DiscardedCE	1420203
841	QueenOfDirt	1417313
842	sandmire	1416888
843	valkam13	1411576
844	xDraggin	1403869
845	Travka100	1396137
846	voiding_	1395707
847	NebulousBadger	1392895
848	CuzIm2Kev	1390067
849	MS_Pryxx	1386070
850	_Yonk_	1382266
851	NoxxxxiS	1379625
852	Chrisdeadeye	1376824
853	CaracolCxnt	1372646
854	Celeste_121	1372536
855	dartwaffle	1371230
856	heysushii	1370278
857	YungWali	1368337
858	ItsAki_	1365108
859	Raltemoxitonica	1364530
860	bitsplease	1357850
861	MonitorLizards	1355824
862	DolphinLaugh	1355198
863	Erased_Identity	1345333
864	handsome_strong	1336431
865	dongli	1332574
866	rachcl	1332397
867	nitram49b	1329286
868	BartekB19	1328880
869	LilLizardWizard	1328011
870	ElderRifken	1317358
871	Koffeeinz	1313934
872	Dan_Scha	1312849
873	wiqor	1311768
874	TheTommyGun63	1308743
875	noodlepack	1308673
876	toj__	1297152
877	itburb	1295743
878	xXTheWolfmanXx	1292821
879	Chickenchaser2	1292476
880	CrazyPotater	1290981
881	platinumzero	1279262
882	breadbowlgamer	1274875
883	robotemo	1271436
884	Kryktal	1268428
885	XeroByMyth	1266683
886	cringenaynaybaby	1261170
887	AshleeCW	1257361
888	Enigma0251	1253996
889	Ev0luti0nz	1253495
890	Purplehere	1251060
891	DanielMmm	1249752
892	738b4f65-6cbd-4ead-ba31-c14211abfb06	1247539
893	3_Solar_3	1247335
894	remmisrat	1246706
895	Zippyzam	1243847
896	MousePlays	1242043
897	Blazebit	1236875
898	RosaDoesMC	1226876
899	ItsJunoIGuess	1226768
900	Studyhallsaver	1222080
901	NotKaden_	1218207
902	tsohomie	1218157
903	Elprone266	1217011
904	Louiis123	1216650
905	KermitTheKripple	1213615
906	Leithz6	1213280
907	SPUDonSTEROIDS	1212912
908	nut_e	1210995
909	lolpoottoot	1209891
910	Allchemy	1199121
911	BuildTheGondola	1195862
912	Mookle96	1194689
913	TakeThis2UrGrave	1192571
914	KujikawaRisechi	1191772
915	Kokeech	1185716
916	aluminumhelmet	1179949
917	Sebaschan__	1177996
918	jaimshae	1177977
919	grislgrobl	1177113
920	Fakiuss	1174811
921	Pineapplesugr	1172963
922	Rainaldus	1172795
923	athereall	1167623
924	Gemstuff	1166408
925	striker90333	1163446
926	Jorrdi	1161360
927	__Auspicious	1161114
928	Flapjacker687	1157027
929	ConcretePirate	1155105
930	Sank34	1152123
931	Kymarmalade	1150504
932	Jokerman369	1149611
933	TheFlfthHorseman	1148050
934	YairZaki	1147268
935	silverpopcorn	1145836
936	_Dri_	1141228
937	Ender_Souls	1139387
938	Sharkbyte0	1139186
939	Mistruth	1139142
940	CloroxBleach385	1137032
941	Project_MKBRD	1134993
942	Tmb1	1134781
943	MusicMe1005	1134695
944	Seyaboy	1132104
945	Meepcraft	1130780
946	the_fireminer	1129918
947	marumochis	1129861
948	coobert42	1127517
949	Juh1s	1124073
950	tlustyCZARNY	1123508
951	DaviusMaximoose	1122520
952	DepressedCubic	1120145
953	AdvertisingMerc	1116185
954	Napoleonpancake	1115283
955	SpicyMeatballs	1110740
956	MrMeisterProper	1110373
957	Fast_Turtle	1110246
958	ibarker21	1109311
959	Slapface522	1106889
960	Tiktola01	1102267
961	jspwn	1101345
962	Ze1ig	1100572
963	Pelbo	1099291
964	_k2x	1098692
965	Sheellky	1096644
966	Bolete	1095320
967	Chuglyfe	1092665
968	vampgey	1088033
969	madderfall	1084833
970	chlorinex	1083981
971	Matemax	1078399
972	Btabtab	1073592
973	SeverianOfUrth	1072719
974	squigglybones	1066533
975	JasmineGK	1065641
976	Upstro10	1064210
977	master9067	1059818
978	ZigzagLily43042	1057227
979	Western_1	1045452
980	TinMaster	1045394
981	zOnlyKroks	1042352
982	0Vyp_	1041906
983	DJenthousiast	1041572
984	BiggieDawg	1041115
985	Sparky_KT	1038396
986	FGamerJ	1037698
987	Kekoo	1037020
988	roxycherry	1034429
989	wrinkledpiglet	1031840
990	SlowMoNinja1994	1025886
991	ItsGrayWolf	1022800
992	bpmm	1020323
993	Gundam_Steven	1015091
994	jambvds	1012958
995	SnowyAvi	1007107
996	Raspberry_Sodas	1007053
997	CaptainAvenger7	1006078
998	Choco_Spy	1003635
999	valiSW	1003148
1000	Aneurysmas	1002965
1001	HoltGrim	997708
1002	Ajax6	994640
1003	MrQuanQuan	992145
1004	elleparo	979149
1005	Pickel_Lord	976576
1006	amkold	976013
1007	ciemacigans	972478
1008	Nargotah	967141
1009	CrookedKaptain	965027
1010	Billious	960828
1011	E775	960581
1012	Logain42	959594
1013	JohnPrice	949239
1014	Astronicky	945968
1015	PartyPhoenix	940410
1016	OreoPenguin_	938989
1017	ElKaySVK	927628
1018	Kegradigm	927593
1019	xorompole	922742
1020	Katthaj	920964
1021	Cellcorgi649	913035
1022	MandenR1	911328
1023	_Crimson_Legate	911001
1024	halfbakedlasagna	909930
1025	nonarso	907807
1026	LittleBug562	906652
1027	Laykon	905183
1028	gilesmcriles	904845
1029	MustardSquid	901213
1030	WarHammer3	901076
1031	TheMaster972	894130
1032	xFaiithyX	892362
1033	BigBootyHudge	891255
1034	TrollerYT	886441
1035	Robby_Cream	881496
1036	technic_squirrel	872976
1037	Invintic	871258
1038	elicobnoah	866862
1039	00000000-0000-0000-0009-01faf4342590	865006
1040	Jonte0599	860716
1041	Sqwishy	857026
1042	Armattillo	849613
1043	somegirl12_	848747
1044	Gmoney390	848739
1045	NanoShot	846063
1046	Kiki_Majiki	841197
1047	lewieinnit	841104
1048	momis24	831243
1049	Mariopreeet	830734
1050	Methalox1	827343
1051	Hanselhoof	822625
1052	leaf26	821556
1053	IforgotCS_Source	820107
1054	Haadrada	815176
1055	Simon_Lowell	815169
1056	godipose	813554
1057	SpaceTurtleOX	812948
1058	Invisie	809968
1059	Mobstr	809603
1060	aikabot	809579
1061	Charmyboi	809275
1062	Lekol	808378
1063	tortillatitan	806734
